parameter,hierarchy,x,scale
predation.accessibility.sardine.prey.sp0,gs,0.9,logit
predation.accessibility.sardine.prey.sp1,gs,0.15,logit
predation.accessibility.sardine.prey.sp3,gs,0.9,logit
predation.accessibility.sardine.prey.sp4,gs,0.9,logit
predation.accessibility.sardine.prey.sp5,gs,0.6,logit
predation.accessibility.sardine.prey.sp6,gs,0.05,logit
predation.accessibility.sardine.prey.sp7,gs,0.6,logit
predation.accessibility.sardine.prey.sp8,gs,0.6,logit
predation.predPrey.sizeRatio.theta.sp2.stage1,gs,0.00063662,logit
predation.predPrey.sizeRatio.alpha.sp2.stage1,gs,0.02483041,logit
predation.predPrey.sizeRatio.theta.sp2.stage2,gs,0.00006366,logit
predation.predPrey.sizeRatio.alpha.sp2.stage2,gs,0.00418067,logit
predation.predPrey.stage.threshold.sp2,gs,0.33583053,logit
mortality.starvation.rate.max.sp2,gs,0.1,log
species.vonbertalanffy.threshold.age.sp2,gs,0.0625,logit
species.egg.size.sp2,er,0.1,log
predation.efficiency.critical.sp2,er,0.57,logit
predation.ingestion.rate.max.sp2,er,3.5,log
mortality.natural.rate.sp2,mc,0.162422626794556,log
mortality.natural.larva.rate.Lx.sp2,mc,13.23934018,log
fishing.multiplier.sp2,mc,1,log
species.sexratio.sp2,hqd,0.5,logit
species.l0.sp2,hqd,0.25531949,logit
species.K.sp2,hqd,0.22,log
species.lInf.sp2,hqd,38.71,log
species.maturity.size.sp2,hqd,0.3856365,logit
species.length2weight.condition.factor.sp2,hqd,0.0089,log
