parameter,hierarchy,x,scale
predation.accessibility.hake.prey.sp0,gs,0.2,logit
predation.accessibility.hake.prey.sp2,gs,0.2,logit
predation.accessibility.hake.prey.sp3,gs,0.15,logit
predation.accessibility.hake.prey.sp4,gs,0.15,logit
predation.accessibility.hake.prey.sp5,gs,0.45,logit
predation.accessibility.hake.prey.sp6,gs,0.02,logit
predation.accessibility.hake.prey.sp7,gs,0.65,logit
predation.accessibility.hake.prey.sp8,gs,0.5,logit
predation.predPrey.sizeRatio.theta.sp1.stage1,gs,0.0127307,logit
predation.predPrey.sizeRatio.alpha.sp1.stage1,gs,0.1945792,logit
predation.predPrey.sizeRatio.theta.sp1.stage2,gs,0.0127307,logit
predation.predPrey.sizeRatio.alpha.sp1.stage2,gs,0.23246665,logit
predation.predPrey.stage.threshold.sp1,gs,0.26470588,logit
mortality.starvation.rate.max.sp1,gs,0.05,log
species.vonbertalanffy.threshold.age.sp1,gs,0.04166667,logit
species.egg.size.sp1,er,0.1,log
predation.efficiency.critical.sp1,er,0.57,logit
predation.ingestion.rate.max.sp1,er,3.5,log
mortality.natural.rate.sp1,mc,0.21015389568062,log
mortality.natural.larva.rate.Lx.sp1,mc,9.8034544,log
fishing.multiplier.sp1,mc,1,log
species.sexratio.sp1,hqd,0.5,logit
species.l0.sp1,hqd,0.05365208,logit
species.K.sp1,hqd,0.205,log
species.lInf.sp1,hqd,68,log
species.maturity.size.sp1,hqd,0.4871927,logit
species.length2weight.condition.factor.sp1,hqd,0.007,log
