parameter,hierarchy,x,scale
predation.accessibility.jurel.prey.sp0,gs,0.9,logit
predation.accessibility.jurel.prey.sp1,gs,0.15,logit
predation.accessibility.jurel.prey.sp2,gs,0.9,logit
predation.accessibility.jurel.prey.sp4,gs,0.9,logit
predation.accessibility.jurel.prey.sp5,gs,0.6,logit
predation.accessibility.jurel.prey.sp6,gs,0.9,logit
predation.accessibility.jurel.prey.sp7,gs,0.6,logit
predation.accessibility.jurel.prey.sp8,gs,0.5,logit
predation.predPrey.sizeRatio.theta.sp3.stage1,gs,0.00212206,logit
predation.predPrey.sizeRatio.alpha.sp3.stage1,gs,0.02974557,logit
predation.predPrey.sizeRatio.theta.sp3.stage2,gs,0.00318307,logit
predation.predPrey.sizeRatio.alpha.sp3.stage2,gs,0.0393207,logit
predation.predPrey.stage.threshold.sp3,gs,0.24509804,logit
mortality.starvation.rate.max.sp3,gs,0.15,log
species.vonbertalanffy.threshold.age.sp3,gs,0.0625,logit
species.egg.size.sp3,er,0.1,log
predation.efficiency.critical.sp3,er,0.57,logit
predation.ingestion.rate.max.sp3,er,3.5,log
mortality.natural.rate.sp3,mc,0.185334473243581,log
mortality.natural.larva.rate.Lx.sp3,mc,12.58825321,log
fishing.multiplier.sp3,mc,1,log
species.sexratio.sp3,hqd,0.5,logit
species.l0.sp3,hqd,0.04568359,log
species.K.sp3,hqd,0.167,log
species.lInf.sp3,hqd,81.6,log
species.maturity.size.sp3,hqd,0.32453446,logit
species.length2weight.condition.factor.sp3,hqd,0.0135,log
