parameter,hierarchy,x,scale
predation.accessibility.meso.prey.sp0,gs,0.55,logit
predation.accessibility.meso.prey.sp1,gs,0.45,logit
predation.accessibility.meso.prey.sp2,gs,0.6,logit
predation.accessibility.meso.prey.sp3,gs,0.6,logit
predation.accessibility.meso.prey.sp4,gs,0.9,logit
predation.accessibility.meso.prey.sp6,gs,0.5,logit
predation.accessibility.meso.prey.sp7,gs,0.95,logit
predation.accessibility.meso.prey.sp8,gs,0.9,logit
predation.predPrey.sizeRatio.theta.sp5.stage1,gs,0.00636599,logit
predation.predPrey.sizeRatio.alpha.sp5.stage1,gs,0.17189939,logit
mortality.starvation.rate.max.sp5,gs,0.5,log
species.vonbertalanffy.threshold.age.sp5,gs,0.175,logit
species.egg.size.sp5,er,0.1,log
predation.efficiency.critical.sp5,er,0.57,logit
predation.ingestion.rate.max.sp5,er,3.5,log
mortality.natural.rate.sp5,mc,0.71082697153229,log
mortality.natural.larva.rate.Lx.sp5,mc,2.08035498,log
species.sexratio.sp5,hqd,0.5,logit
species.l0.sp5,hqd,0.06667332,logit
species.K.sp5,hqd,1.15,log
species.lInf.sp5,hqd,8,log
species.maturity.size.sp5,hqd,0.26338761,logit
species.length2weight.condition.factor.sp5,hqd,0.00832,log
