parameter,hierarchy,x,scale
predation.accessibility.munida.prey.sp0,gs,0.9,logit
predation.accessibility.munida.prey.sp1,gs,0.025,logit
predation.accessibility.munida.prey.sp2,gs,0.9,logit
predation.accessibility.munida.prey.sp3,gs,0.9,logit
predation.accessibility.munida.prey.sp4,gs,0.9,logit
predation.accessibility.munida.prey.sp5,gs,0.5,logit
predation.accessibility.munida.prey.sp7,gs,0.5,logit
predation.accessibility.munida.prey.sp8,gs,0.55,logit
predation.predPrey.sizeRatio.theta.sp6.stage1,gs,0.00424407,logit
predation.predPrey.sizeRatio.alpha.sp6.stage1,gs,0.29216313,logit
mortality.starvation.rate.max.sp6,gs,0.1,log
species.vonbertalanffy.threshold.age.sp6,gs,0.125,logit
species.egg.size.sp6,er,0.1,log
predation.efficiency.critical.sp6,er,0.57,logit
predation.ingestion.rate.max.sp6,er,3.5,log
mortality.natural.rate.sp6,mc,0.23222006183365,log
mortality.natural.larva.rate.Lx.sp6,mc,6.7571602,log
species.sexratio.sp6,hqd,0.5,logit
species.l0.sp6,hqd,0.11573634,log
species.K.sp6,hqd,0.375,log
species.lInf.sp6,hqd,4.2,log
species.maturity.size.sp6,hqd,0.38070615,logit
species.length2weight.condition.factor.sp6,hqd,0.174,log
