parameter,hierarchy,x,scale
predation.accessibility.pota.prey.sp0,gs,0.6,logit
predation.accessibility.pota.prey.sp1,gs,0.65,logit
predation.accessibility.pota.prey.sp2,gs,0.6,logit
predation.accessibility.pota.prey.sp3,gs,0.7,logit
predation.accessibility.pota.prey.sp4,gs,0.6,logit
predation.accessibility.pota.prey.sp5,gs,0.95,logit
predation.accessibility.pota.prey.sp6,gs,0.5,logit
predation.accessibility.pota.prey.sp8,gs,0.95,logit
predation.predPrey.sizeRatio.theta.sp7.stage1,gs,0.01818419,logit
predation.predPrey.sizeRatio.alpha.sp7.stage1,gs,0.22820339,logit
predation.predPrey.sizeRatio.theta.sp7.stage2,gs,0.01157363,logit
predation.predPrey.sizeRatio.alpha.sp7.stage2,gs,0.28691424,logit
predation.predPrey.sizeRatio.theta.sp7.stage3,gs,0.00909395,logit
predation.predPrey.sizeRatio.alpha.sp7.stage3,gs,0.4954113,logit
predation.predPrey.stage.threshold.sp7.stage2.frac,gs,0.63157895,logit
predation.predPrey.stage.threshold.sp7.ratio,gs,0.5,logit
mortality.starvation.rate.max.sp7,gs,0.1,log
species.vonbertalanffy.threshold.age.sp7,gs,0.66666667,logit
species.egg.size.sp7,er,0.1,log
predation.efficiency.critical.sp7,er,0.57,logit
predation.ingestion.rate.max.sp7,er,3.5,log
mortality.natural.rate.sp7,mc,1.84658128779037,log
mortality.natural.larva.rate.Lx.sp7,mc,8.94517073,log
fishing.multiplier.sp7,mc,1,log
species.sexratio.sp7,hqd,0.5,logit
species.l0.sp7,hqd,0.09425729,logit
species.K.sp7,hqd,1.1,log
species.lInf.sp7,hqd,95,log
species.maturity.size.sp7,hqd,0.66296923,logit
species.length2weight.condition.factor.sp7,hqd,0.005,log
