parameter,hierarchy,x,scale
predation.accessibility.caballa.prey.sp0,gs,0.9,logit
predation.accessibility.caballa.prey.sp1,gs,0.15,logit
predation.accessibility.caballa.prey.sp2,gs,0.9,logit
predation.accessibility.caballa.prey.sp3,gs,0.9,logit
predation.accessibility.caballa.prey.sp5,gs,0.9,logit
predation.accessibility.caballa.prey.sp6,gs,0.9,logit
predation.accessibility.caballa.prey.sp7,gs,0.6,logit
predation.accessibility.caballa.prey.sp8,gs,0.6,logit
predation.predPrey.sizeRatio.theta.sp4.stage1,gs,0.00212206,logit
predation.predPrey.sizeRatio.alpha.sp4.stage1,gs,0.02974557,logit
predation.predPrey.sizeRatio.theta.sp4.stage2,gs,0.00318307,logit
predation.predPrey.sizeRatio.alpha.sp4.stage2,gs,0.0393207,logit
predation.predPrey.stage.threshold.sp4,gs,0.49261084,logit
mortality.starvation.rate.max.sp4,gs,0.05,log
species.vonbertalanffy.threshold.age.sp4,gs,0.05,logit
species.egg.size.sp4,er,0.1,log
predation.efficiency.critical.sp4,er,0.57,logit
predation.ingestion.rate.max.sp4,er,3.5,log
mortality.natural.rate.sp4,mc,0.213566390603398,log
mortality.natural.larva.rate.Lx.sp4,mc,13.12104839,log
fishing.multiplier.sp4,mc,1,log
species.sexratio.sp4,hqd,0.5,logit
species.l0.sp4,hqd,0.0202913,log
species.K.sp4,hqd,0.41,log
species.lInf.sp4,hqd,40.6,log
species.maturity.size.sp4,hqd,0.70836812,logit
species.length2weight.condition.factor.sp4,hqd,0.0086,log
